<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.27210	1.27319	1.27167	1.27268	373	0	1
2024.01.02	01:00:00	1.27304	1.27351	1.27259	1.27275	3218	0	5
2024.01.02	02:00:00	1.27275	1.27295	1.27214	1.27255	3283	0	5
2024.01.02	03:00:00	1.27254	1.27334	1.27201	1.27206	5997	0	5
2024.01.02	04:00:00	1.27206	1.27253	1.27097	1.27104	4037	0	5
2024.01.02	05:00:00	1.27104	1.27200	1.27097	1.27184	3361	0	5
2024.01.02	06:00:00	1.27184	1.27190	1.27107	1.27142	1843	0	5
2024.01.02	07:00:00	1.27142	1.27411	1.27140	1.27369	4660	0	5
2024.01.02	08:00:00	1.27369	1.27373	1.27289	1.27311	4340	0	2
2024.01.02	09:00:00	1.27311	1.27441	1.27268	1.27323	10563	0	1
2024.01.02	10:00:00	1.27323	1.27601	1.27294	1.27497	16084	0	1
2024.01.02	11:00:00	1.27497	1.27566	1.27170	1.27175	10016	0	1
2024.01.02	12:00:00	1.27173	1.27188	1.26926	1.26950	13121	0	1
2024.01.02	13:00:00	1.26954	1.26954	1.26539	1.26627	16980	0	1
2024.01.02	14:00:00	1.26627	1.26632	1.26393	1.26435	12593	0	1
2024.01.02	15:00:00	1.26435	1.26485	1.26212	1.26295	14155	0	1
2024.01.02	16:00:00	1.26296	1.26448	1.26200	1.26283	22680	0	1
2024.01.02	17:00:00	1.26283	1.26378	1.26150	1.26251	25109	0	1
2024.01.02	18:00:00	1.26251	1.26353	1.26107	1.26296	13938	0	1
2024.01.02	19:00:00	1.26296	1.26370	1.26219	1.26330	10307	0	3
2024.01.02	20:00:00	1.26329	1.26350	1.26237	1.26259	7500	0	3
2024.01.02	21:00:00	1.26259	1.26270	1.26197	1.26200	5568	0	3
2024.01.02	22:00:00	1.26200	1.26266	1.26160	1.26171	6932	0	3
2024.01.02	23:00:00	1.26170	1.26216	1.26149	1.26160	2851	0	2
2024.01.03	00:00:00	1.26149	1.26201	1.26096	1.26178	2973	0	17
2024.01.03	01:00:00	1.26197	1.26241	1.26191	1.26226	1045	0	5
2024.01.03	02:00:00	1.26226	1.26322	1.26199	1.26308	3244	0	5
2024.01.03	03:00:00	1.26308	1.26335	1.26248	1.26288	5544	0	5
2024.01.03	04:00:00	1.26288	1.26311	1.26262	1.26289	3017	0	5
2024.01.03	05:00:00	1.26289	1.26409	1.26287	1.26405	4440	0	5
2024.01.03	06:00:00	1.26405	1.26416	1.26379	1.26413	2796	0	5
2024.01.03	07:00:00	1.26411	1.26415	1.26297	1.26304	3329	0	5
2024.01.03	08:00:00	1.26304	1.26465	1.26301	1.26436	4067	0	2
2024.01.03	09:00:00	1.26431	1.26472	1.26242	1.26434	10547	0	1
2024.01.03	10:00:00	1.26435	1.26527	1.26355	1.26415	11986	0	1
2024.01.03	11:00:00	1.26415	1.26468	1.26253	1.26278	9674	0	1
2024.01.03	12:00:00	1.26278	1.26316	1.26201	1.26268	7603	0	1
2024.01.03	13:00:00	1.26267	1.26317	1.26185	1.26270	9322	0	1
2024.01.03	14:00:00	1.26270	1.26423	1.26200	1.26245	10108	0	1
2024.01.03	15:00:00	1.26245	1.26432	1.26183	1.26298	15408	0	1
2024.01.03	16:00:00	1.26298	1.26420	1.26177	1.26321	18000	0	1
2024.01.03	17:00:00	1.26315	1.26567	1.26154	1.26279	32151	0	1
2024.01.03	18:00:00	1.26279	1.26506	1.26271	1.26406	17438	0	1
2024.01.03	19:00:00	1.26406	1.26475	1.26371	1.26447	11330	0	3
2024.01.03	20:00:00	1.26447	1.26545	1.26407	1.26465	9283	0	3
2024.01.03	21:00:00	1.26466	1.26767	1.26305	1.26643	27933	0	3
2024.01.03	22:00:00	1.26642	1.26672	1.26543	1.26640	13699	0	3
2024.01.03	23:00:00	1.26633	1.26678	1.26608	1.26642	2765	0	0
2024.01.04	00:00:00	1.26639	1.26666	1.26517	1.26645	2445	0	10
2024.01.04	01:00:00	1.26654	1.26736	1.26653	1.26730	1914	0	5
2024.01.04	02:00:00	1.26730	1.26732	1.26658	1.26690	3837	0	5
2024.01.04	03:00:00	1.26690	1.26701	1.26601	1.26621	5245	0	5
2024.01.04	04:00:00	1.26621	1.26638	1.26567	1.26597	4424	0	5
2024.01.04	05:00:00	1.26597	1.26734	1.26590	1.26733	4425	0	5
2024.01.04	06:00:00	1.26733	1.26762	1.26695	1.26701	3437	0	5
2024.01.04	07:00:00	1.26701	1.26718	1.26627	1.26653	4964	0	5
2024.01.04	08:00:00	1.26653	1.26793	1.26648	1.26790	6432	0	2
2024.01.04	09:00:00	1.26792	1.26938	1.26773	1.26931	10622	0	1
2024.01.04	10:00:00	1.26931	1.27084	1.26816	1.27017	15695	0	1
2024.01.04	11:00:00	1.27017	1.27248	1.26892	1.27204	14339	0	1
2024.01.04	12:00:00	1.27203	1.27300	1.27044	1.27073	12571	0	1
2024.01.04	13:00:00	1.27073	1.27080	1.26865	1.26901	8498	0	1
2024.01.04	14:00:00	1.26902	1.26959	1.26859	1.26924	8438	0	1
